RAHIMTEXT,6/11/2012,142.1,142.2,142.1,142.1,150
RAKCERAMIC,6/11/2012,68.7,70.3,68.7,69.1,59600
RANFOUNDRY,6/11/2012,72.9,72.9,68.5,69.9,1500
RELIANCINS,6/11/2012,86,88.5,83.1,86.4,2500
RENATA,6/11/2012,915,930.5,911,918.5,550
RENWICKJA,6/11/2012,78,79,77.5,78.1,2400
REPUBLIC,6/11/2012,52.7,52.7,50,50.8,40000
RNSPIN,6/11/2012,29.4,29.7,28.9,29.5,425250
RUPALIBANK,6/11/2012,89.4,89.4,87,88.3,1100
RUPALIINS,6/11/2012,41.8,43.2,40.6,42.3,117500
RUPALILIFE,6/11/2012,175,177.6,173.7,175.4,6000
SAFKOSPINN,6/11/2012,23,23,21.5,21.8,69000
SAIHAMTEX,6/11/2012,26.8,27.1,26.5,26.9,36700
SALAMCRST,6/11/2012,54.7,55.4,54,54.9,141000
SAMORITA,6/11/2012,85,85,85,85,500
SAPORTL,6/11/2012,41.5,41.8,40.4,41.3,24300
SHAHJABANK,6/11/2012,23.8,23.9,23.6,23.7,102050
SINGERBD,6/11/2012,178.7,182.2,178.1,180.5,40200
SINOBANGLA,6/11/2012,28,29.8,28,29,54500
SONALIANSH,6/11/2012,122.1,125.5,122,124.5,750
SONARBAINS,6/11/2012,32.3,33,32.2,32.5,11500
SONARGAON,6/11/2012,21.3,22,20.9,21.7,43500
SOUTHEASTB,6/11/2012,21.3,21.8,21.1,21.3,229000
SPCERAMICS,6/11/2012,29.4,29.5,28.8,29.1,68300
SQUARETEXT,6/11/2012,102.1,103.5,100.6,102.8,34100
SQURPHARMA,6/11/2012,261.9,263,255.4,256.7,317720
STANDARINS,6/11/2012,41.3,41.5,41.3,41.3,52500
STANDBANKL,6/11/2012,20.9,21,20.6,20.7,179000
SUMITPOWER,6/11/2012,61.5,61.6,60.1,61.3,290800
TAKAFULINS,6/11/2012,49.1,49.1,49.1,49.1,4000
TALLUSPIN,6/11/2012,32.5,32.6,31.9,32.3,22600
TITASGAS,6/11/2012,70,70.3,68.5,69.7,681000
TRUSTBANK,6/11/2012,26.3,28,26.3,26.4,35000
UCBL,6/11/2012,26.4,26.8,26.4,26.6,819250
UNITEDFIN,6/11/2012,41.2,41.6,39.9,41.1,74000
UNIONCAP,6/11/2012,39.8,39.8,38.5,38.9,57000
UNITEDAIR,6/11/2012,16.1,16.4,16,16.2,1067300
UNITEDINS,6/11/2012,55,55,55,55,500
